Date,Price,Open,High,Low,Volume,Chg%
07-06-2022,463.4,461.85,465.95,460.5,7.67M,-0.06%
06-06-2022,463.7,464.2,465.6,456.5,10.66M,-0.17%
03-06-2022,464.5,473.25,475.5,463.5,11.31M,-1.14%
02-06-2022,469.85,466.9,472.35,466.15,9.37M,0.33%
01-06-2022,468.3,468,472,464.7,9.42M,0.04%
31-05-2022,468.1,474,476.4,465,15.44M,-1.37%
30-05-2022,474.6,473,476.9,471.1,9.37M,1.20%
27-05-2022,468.95,471.4,475,467.5,10.98M,0.01%
26-05-2022,468.9,456.85,470.1,452.5,17.06M,3.26%
25-05-2022,454.1,461,464.45,452.05,12.73M,-1.72%
24-05-2022,462.05,462.4,466.8,460.2,17.18M,0.25%
23-05-2022,460.9,463.1,471.4,459.5,13.50M,-0.32%
20-05-2022,462.4,454.85,464,454.15,13.60M,3.33%
19-05-2022,447.5,449.05,450,444.45,14.20M,-2.29%
18-05-2022,458,467.9,468.6,457.1,15.64M,-1.99%
17-05-2022,467.3,458.3,469.65,456.15,16.88M,2.70%
16-05-2022,455,445,461.5,438.85,27.94M,2.33%
13-05-2022,444.65,469.45,477,439.75,61.40M,-3.89%
12-05-2022,462.65,473,473,456.35,18.95M,-2.92%
11-05-2022,476.55,475.25,479,463.65,14.77M,0.28%
10-05-2022,475.2,477,482.55,473.5,10.88M,-0.15%
09-05-2022,475.9,477.1,483.7,473.8,13.54M,-1.66%
06-05-2022,483.95,471,486.1,471,16.71M,0.82%
05-05-2022,480,485,494,478.65,14.13M,0.07%
04-05-2022,479.65,492,496.45,477.5,14.65M,-2.31%
02-05-2022,491,492.65,495,481.3,18.59M,-1.07%
29-04-2022,496.3,508.1,512.5,494,12.89M,-2.21%
28-04-2022,507.5,499.15,510,496.5,12.15M,2.06%
27-04-2022,497.25,500,502.8,491.85,12.37M,-1.63%
26-04-2022,505.5,499,507.9,498.45,12.14M,2.17%
25-04-2022,494.75,495,499.2,490.05,14.06M,-1.17%
22-04-2022,500.6,512.9,513.5,499,16.76M,-3.04%
21-04-2022,516.3,513.4,518,512.2,10.04M,1.37%
20-04-2022,509.3,512,513.7,507,11.88M,-0.49%
19-04-2022,511.8,513.25,520.95,505.1,20.36M,0.45%
18-04-2022,509.5,512,515,504,14.49M,-1.58%
13-04-2022,517.7,514.3,520.9,513.75,15.44M,0.95%
12-04-2022,512.85,512.75,516.7,504.35,14.46M,-0.40%
11-04-2022,514.9,513.5,522,513.2,12.37M,-0.23%
08-04-2022,516.1,519.5,519.5,512.35,13.57M,0.22%
07-04-2022,514.95,510.05,519.9,510.05,19.62M,0.19%
06-04-2022,513.95,507,515.2,506,13.74M,0.89%
05-04-2022,509.4,514.4,516.4,507.7,13.60M,-0.59%
04-04-2022,512.4,509.3,514.9,506,16.26M,0.83%
01-04-2022,508.2,491,509.75,491,18.53M,2.97%
31-03-2022,493.55,494.3,497.55,492.2,10.24M,-0.15%
30-03-2022,494.3,499.3,500.4,492.3,16.46M,-0.14%
29-03-2022,495,500,501.4,491.7,14.30M,-0.50%
28-03-2022,497.5,490.95,498.6,481.95,16.74M,1.39%
25-03-2022,490.7,491.75,493.3,486.6,11.54M,0.74%
24-03-2022,487.1,485,494.8,483.5,18.17M,-0.72%
23-03-2022,490.65,498.5,502.4,489.2,15.80M,-0.62%
22-03-2022,493.7,490.6,495.8,477.25,26.16M,0.63%
21-03-2022,490.6,502,502,489,19.06M,-2.25%
17-03-2022,501.9,499,503.5,498.3,22.95M,1.86%
16-03-2022,492.75,493,494.3,489.4,16.21M,1.42%
15-03-2022,485.85,489,490.5,480.65,27.20M,0.14%
14-03-2022,485.15,471,486,470.55,27.75M,3.15%
11-03-2022,470.35,466.4,474.8,462,22.09M,0.35%
10-03-2022,468.7,469.9,476.65,461.65,34.55M,3.76%
09-03-2022,451.7,442,454.3,438.55,32.33M,2.59%
08-03-2022,440.3,438,442.1,425,42.51M,0.00%
07-03-2022,440.3,447.5,453.95,433.45,33.72M,-4.69%
04-03-2022,461.95,460.3,470.9,457.65,20.68M,-1.17%
03-03-2022,467.4,480,483.4,464.6,20.36M,-1.44%
02-03-2022,474.25,478,479.8,467,22.00M,-1.85%
28-02-2022,483.2,476.9,485.3,473.1,18.07M,0.05%
25-02-2022,482.95,480,491.9,479.3,21.79M,2.18%
24-02-2022,472.65,480,487.95,468,32.36M,-5.22%
23-02-2022,498.7,503,505.35,497.25,13.90M,0.06%
22-02-2022,498.4,500.9,505.3,495.5,27.11M,-2.63%
21-02-2022,511.85,511.55,517.5,504.65,16.87M,-0.67%
18-02-2022,515.3,510.1,520.9,510.1,15.11M,0.46%
17-02-2022,512.95,520,520,511.15,16.41M,-0.73%
16-02-2022,516.7,526.5,528,514,19.77M,-1.54%
